,users,ratings,shorts,times
0,[已注销],2,拥有八国血统的女主演了个华裔，而且这八国里都没有中国。片子不如叫滚回中国。,2019-04-04
1,+,1,Akana 有日本、夏威夷、菲利宾、爱尔兰、德国、西班牙、法国和英国血统，她唯独就没有中国血统，这片子真是把中国当朝鲜一样在拍，太刻板了。,2020-03-09
2,你的益达,4,作为制造业的搬砖🐶，不知为什么对这种小型工厂环境有种越虐越爱的快感。片里取景的厂房神似我n年前打暑期工的那家，毕竟是深圳关外千篇一律的出租厂房。影片主题一层是父女和解，二层是香蕉人富二代与中国的相爱相杀，各种乳滑段子:计划生育，中国老板爱在发廊找老婆，工厂饭堂的不明肉类(🐶？🐭？)，产品设计师月薪三四千，当然正面的也有对工人福利和互联网生产力的突出呈现。虽然剧情偏玛丽苏和进步主义，但剧本绝对不止现在豆瓣5分的分值。结合《中国工厂》顺德丁普乐家电厂那集一起看有奇效。,2020-04-11
3,Ye-Tegin,3,涉嫌乳化，建议联系观网青团抗议。,2020-04-13
4,Fran,2,这个剧本是怎么拿到fund的 我想和导演聊聊,2019-03-16
5,琧婯,2,香蕉人够努力了，可惜中国的发展速度实在太快了，快的国内都有很多人都不适应，遑论其他。。。,2020-04-24
6,桃桃林林,2,肉糜视角。各种刻板与偏见，而包裹其中的情节也是非常老土与缺少亮点。这样的电影才更加凸显《别告诉她》的出色，那部电影对东西方文化和东方情感的描绘，更有生活，会想起很多生活的瞬间。而这一部未免太多符号与臆想，而落在情感本身，却又是毫无根基的。,2020-04-12
7,啧,2,刻板印象太重，严重的水土不服作品。,2020-03-17
8,三宿,1,完全的对中国的stereotype，我无从吐槽，一个在洛杉矶的富豪女孩，一个晚上酒吧消费2000美金的女孩，回到中国二三线小镇工厂，这种刻意的对比什么意思；话说中国一线城市的富二代到美国也都觉得村，那中国是不是可以拍一个上海富二代到美国乡村体验造汽车的电影？？？导演果然是台湾人。,2020-04-11
9,benlovingmusic,3,用中国外在包装的一个美国内核的故事！,2020-04-10
10,vivi,3,特别无聊的片子，但看到某个点就突然很想爸爸了。,2020-04-10
