,users,ratings,shorts,times
0,姜纪存,5,客机坠毁背后有何惊天秘密？厨娘为何对顾客起了杀机？荒郊野外两车爆炸烧焦尸体怎会纠缠一起？爆破工程师炸毁拖车公司是有预谋还是耍脾气？顶包案背后是何种金钱利益？新郎新娘婚礼现场反目成仇与神秘女子又有何关系？请收看人间自保指南：《别刻薄 别冲动 别装逼 别较真 别贪婪 别约炮》,2015-05-10
1,匡匡,5,年度撕逼大戏，颁奖季最好也最好看的外语片之一。丛林心态下，所有的人都是animal，所有的故事都是蛮荒故事。精彩翻转，虽癫狂，细思却并不意外，生活实际的样子，远比这荒谬得多。某种意义上，<消失的爱人>是喜剧，<蛮荒故事>却是悲剧。因为前者是刻意的虚无，后者是真实残酷的白描。,2015-03-13
2,shininglove,4,这是迄今为止天蝎座人士在银幕上最大规模的集体展现。,2015-09-09
3,影志,5,“跟你做的比起来，我那做的都不算什么” 魔性十足，荒诞满分。每个人都有过一闪而过的犯罪念头，这部片子把我们没敢做出来的那部分呈现出来，狠狠戳中我们的软肋。这个世界总是如此厌倦又可笑。“没人不希望恶有恶报，但又没人愿意脏了自己的手。”,2015-06-16
4,seamouse,5,同样展现社会暴戾情绪的阿根廷版《天注定》，但要比后者艺术、幽默和高级很多。可以从中胡乱联想到马航、反拆迁、药家鑫、T3爆炸、深圳车祸顶包，外带一个巴尔干谅解式的合家欢结局。,2014-05-17
5,Cycble,4,《恨我的人都去死吧》《姑娘，让我喂你的仇人老鼠药吧》《古有泼妇骂街，今有壮士斗街》《该死的收费站，炸裂》《黑吃黑谈判》《相爱相杀的婚礼直播》，喜欢第一个，第三个，第六个。,2015-03-16
6,桃桃林林,4,始于荒诞，止于更荒诞。于我们，还是有很多共鸣的,2015-02-26
7,Mumu,3,拖车爆破那段儿结尾的温馨-1星,2015-03-03
8,CharlesChou,4,《天注定》与这一比除了形式之外皆落下风，虽然都是怒火中烧的爆发，前者一派阴郁充满戾气的基调，仿佛一切都是体制的错与人无关；而拉美人民告诉你个个文明人身体里都住着凶蛮野兽，用一场撕逼大戏结尾真是看得很爽。除了第一个故事很一般之外其它都相当惊喜。,2015-02-27
9,鼓腹游,5,人生的大喜大悲实在是太TM刺激了。8.7,2015-03-03
10,谋杀游戏机,5,主竞赛黑马，阿根廷天注定，看过的都叫好。六个因仇生暴的小故事，每个都张力十足，戛纳巴赞厅里大笑不断。除了天注定，还有拉美版无人区、全民目击等等，差不多的故事，明显人家拍得更劲道。经典配乐、独特角度的运镜也很风格化。不知评委之一的贾樟柯看了作何感想？,2014-05-17
11,小A,5,拉美人民多奇志，拉美导演有邪活。年度最值得期待、最超出预期的荒诞喜剧，劲爆黑色邪典幽默调侃社会弊端人生百态，猛打鸡血笑中带泪。视觉语言极其娴熟。喜剧版《六个道德故事》。《断背山》《通天塔》配乐师桑托拉亚拉美风情吉他电子音乐燃爆全场。,2014-05-17
12,同志亦凡人中文站,4,这片和“天注定”的最大区别，就是我们只剩下填充胸臆的戾气、而阿根廷还保留着无政府主义的癫狂。同样是故事拼接，“四个月亮”导演该好好看看这片...,2015-02-26
13,亵渎电影,4,如果硬要和贾樟柯的[天注定]相比，那科长的叙事节奏就像赵涛那张“演技派”的脸。片中6个小故事叙事包袱一抖再抖，这种一波三折的黑色故事确实很招人喜欢，它们的惊与喜、讽刺和无语都是显而易见的。我在想，大家都别整天想着抄《黑镜》了，这样的黑色操蛋故事整成一个剧集同样会是神作。★★★★,2015-02-24
14,内陆飞鱼,4,"又一个酒神附体的电影，有笑有泪的复仇大赛，库斯图里卡的黑色味精，昆汀的血色糖精，加点马卡维耶夫的迷狂春药，好玩。最凶暴的两个司机玩命斗气斗殴那一段，跑到奥迪车头拉粑粑的司机要是腹泻，就棒了，可怜我最喜欢的Joe Esposito单曲《Lady, Lady, Lady》为这么重口味的故事伴奏。",2015-02-26
15,文尔,5,人要有脾气。脾气发得不好就傻逼，发得好就牛逼。,2015-07-09
16,木卫二,4,碎片化的形式，有点像之前罗马尼亚一堆人鼓捣的《黄金时代的故事》，只不过这边是一个人拍的。观感挺不错，但说“经典”，还远远称不上。即便有的碎片很完整很精彩，像公路恶斗。也有作到死的相爱相杀，文青们的最爱。可是，终究缺乏一个形式上的统一，并且太容易分出高下。,2015-03-20
17,.Danny,5,本年度最惊喜的一部喜剧片。6个故事罗列在一起，不拥挤不仓促，每个独立都有各自独立的笑点，整个集合在一起就像一头猎豹一样，用冷冷的双眼观望这个社会。还有每个故事的镜头，场景运动都相对独立，具有新意。非常的阿莫多瓦和鞋拔子昆丁。,2014-12-18
18,Lycidas,5,除了ICBC植入广告外感觉可以满分，片头出字幕那段+全片配乐太牛逼了，bombita这段开始随着灯闪听到gustavo santaolalla标志的吉他声我激动到浑身打颤全面炸裂！喜欢台译片名，感觉抓到了精髓。阿根廷电影绝对西语世界的良心，想看的演员都看到了还这么充满正能量太开心！！！,2015-03-01
19,有心打扰,5,植于生活，长于现实的荒蛮故事。6个小故事没有短板，全部都是如此引人入胜。情节看似荒诞不已的地方，却也让人笑着深思。人生经历多少挫折都没关系，只要还有人支持着自己，也还会对社会有一点爱。言语的肆无忌惮和迫在眉睫的暴力，权利权力家庭舆论的畸形发展，婚姻始终是一场浪漫的闹剧。,2015-03-09
20,时间之葬,4,文明社会中的野蛮行径，是被逼迫下映衬出的奇观，印证的是卢梭“高贵的野蛮人”的观点，再次说明复仇是一件高贵的事情,2015-03-23
21,栗,5,最后一个故事满分。,2016-04-10
22,frozenmoon,4,本来以为会有一条有趣的线索把这六个故事中的人物串起来，如果那样可能更有意思一点，但也许就更故意了一点。现在这样也不错吧，但总觉得差一口气。每个故事都很有意思，从微不足道的低微情绪一点点累积至一个不可想象的极端结局。平静生活下的火山。不错。,2015-03-01
23,超搞笑级的？？,5,不要轻视心里疾病的人，不要欺负钉子户，不要惹开长途车的，不要违法拖车，不要跟律师警察谈钱，不要出轨，不要说天注定比这部差,2015-03-08
24,西楼尘,5,六个一嗨到底的片子，一部嗑了药的电影。15年开年观感最刺激流畅精彩的片子。《帕斯特纳克》《鼠辈》《勇者胜》《小炸弹》《提议》《直到死亡江我俩分开》，讲述了以航班、饭馆、路怒、罚单、肇事和婚礼为主题的复仇故事。剧情离奇失控看得过瘾，最喜欢婚礼故事的结局，我心目中的2014年度最佳外语片。,2015-03-10
25,办公室甜心,4,大家脾气都大得很哦,2015-06-15
26,朝阳区陆依萍,4,哈哈...万万没想到，结尾居然是安妮宝贝治愈系......,2015-03-07
27,荞麦,3,把新闻故事拍成电影到底有什么意思啦？只喜欢两个司机斗狠那段……婚礼也马马虎虎吧……其它都很无聊。,2015-03-15
28,欢乐分裂,4,别和某片相提并论啦，这种疯癫讽喻的黑色喜剧只有拉美系才能拍出泼辣生猛的味道，对体制的深恶痛绝与对人性阴暗的揭露不流于说教；短片就好在及时收尾，六个小故事的节奏都切分得不错，稍嫌夸张，不过西班牙语境下无违和感；最喜第一个短小精悍的意料之外与最后一个撕到高潮。,2015-03-25
29,徐宏亮_TomXu,5,年度撕逼大战，拉美人民多奇志！黑色荒诞，动物世界！6个故事里，最喜欢公路双焚和狂躁婚礼。,2015-07-04
30,亚比煞,4,所有故事无非想说这么一句:“你特么以为我好欺负吗？看我怎么弄死你”。也许现实中大家都忍够了吧，看这类故事觉得很解气，就给顶了这么高的分。借电影出口恶气之后，再回头继续忍耐自己的生活。,2017-02-05
31,文西,4,年轻无畏的电影就是有力量呀， 故事各种桥段设计得还都不错，阿根廷人民火气还真大，不过我觉得还是天注定更好一点！,2014-09-02
32,birds,5,音乐真是太带劲了，现代人每个人身上都携有摧毁一切的炸弹。文明是任性，是不可自身受侵犯。六段故事里有三段不荒蛮的暖色，不愿行凶的服务员，代表软弱至髓。自首的男孩，后又转至懦弱。阳台的智慧安慰，转为动物性的原始。,2015-03-20
33,朝暮雪,4,阿根廷版《无人区》，因为一件小事最后搞得同归于尽。所以说啊，宁愿吃点亏，也不要和垃圾人正面刚。,2015-03-20
34,芦哲峰,4,匹夫见辱，拍案而起，拔剑而斗，一时之快；狭路相逢，相爱相杀，同归于尽，何必当初。,2015-11-07
35,Marilyn教父,4,1、快去感恩当年那些、对你不杀之恩的人...2、该出手时就出手、风风火火闯九州...3、得饶人处且饶人、最后还是要一起跳广场舞的...4、以暴制暴、总要有人站出来...5、从你出生起、就注定了你的阶级...6、隔壁老王无处不在、相逢一炮免恩仇吧...,2015-03-30
36,薇羅尼卡,5,基本上没怎么看过阿根廷的片子，这真是个惊喜。当然最喜欢的是最后一个婚礼故事，不停地反转从荒诞中透出一股真实，真的觉得不可置信吗？也许生活就是如此。最给力的当然是追车故事，人的怒气与报复心真的可以膨胀到什么地步呢？当然最神的还是开头最短的复仇故事，绝妙精彩～,2016-04-17
37,婴儿葛葛,4,对比了下《黑镜》，《九号秘事》，同样的讽刺和荒谬，英国人拍出了性冷感的体味，拉丁人拍出了费洛蒙的体味。真的，什么样的民族气质，创造什么样的作品。,2015-06-16
38,大島,5,世界有多大，脑洞开多大。,2016-01-07
39,囧之女神daisy,5,虽谈不上太新鲜，但妙不可言。,2015-10-25
40,24city,3,一般，质量参差不齐。盲目的好口碑太多，尤其是各种拿《天注定》说事，真是一个可笑的对比，非要找个比较的，之前有部《燃烧的棕榈》要比这片子好看得多，更有深度。,2015-02-28
41,谋杀电视机,3,这个系列剧讲述了这么几个人的故事：开雪佛兰的开奥迪的开宝马的还有开飞机的,2016-01-03
42,陈哈,5,一个猛人把背叛过他得罪过他的人都集中在飞机上；一个餐厅服务员碰到曾经的“杀”父仇人来用餐，同事说该用老鼠药了；一个光鲜中产在人迹罕至的路上遇到不让道挑衅他的野蛮人；一个熟谙爆炸的工程师车被拖走几次讨个说法而不得；一个富二代撞死孕妇老爸和律师找园丁来顶包；一个新娘在婚礼上发现小婊砸,2015-03-02
43,把噗,2,荒蛮故事 vs. 一千零一夜 = 超新约全书 vs. 布达佩斯大饭店,2016-04-11
44,不动声色地,3,撕逼是最棒的前戏+10086,2016-01-17
45,远子,3,几个月前聚餐的时候听一个朋友讲了这部电影，她把里面的六个故事都讲了一遍，说太好看太刺激，从未有过的观影体验。在座的人却纷纷表示，这都什么乱七八糟的……看完后觉得没她讲的精彩。,2015-11-24
46,汪金卫,5,【中国电影资料馆展映】黑色喜剧短片集。每集的主角都在压力下释放了自我，实施了一闪而过的犯罪念头。发泄了被压抑的情绪，让看客拍手称快。即是荒诞的闹剧，也是对社会种种现象的尖锐抨击。每个短片都很喜欢，大银幕观影尤其爽快，好看！,2017-05-13
