,users,ratings,shorts,times
0,小丽,1,当一个同学说好期待小时代3，今夏必看影片，那一刻，我意识到我和他永远成不了朋友了！,2014-07-16
1,von,1,豆瓣应该增加“不想看”的按钮。,2014-07-16
2,芝麻酱,1,三部下来，郭导发挥还是很稳定的。,2014-07-17
3,cheryl_婷,2,我们好好啊我们是时代姐妹花——我们好好啊我们是畅游罗马喇叭嗓大妈团——我们好可怜啊情郎去世了——我们好牛逼啊要去偷方案了——我们好牛逼啊偷到方案啦——撕逼——撕逼——分组撕逼——合体——结束,2014-07-17
4,西帕克,2,可看性其实还行，有一种搭错经的高冷氛围，莫名制造了很多奇怪笑点。其实四爷是故意用这种违和的情节剧，制造布莱希特式的间离？,2014-07-19
5,放开那个浪味仙,1,这剪辑，这特写，这演技，这阵容…集逗逼撕逼于一身的年度MV神作！怎能错过！,2014-06-27
6,王大根,2,1、杨幂代言的每益添和58同城包场了！2、李贤宰是真的帅，小精灵型的帅，不枉我为他撸过半集《闭嘴！花美男乐队》3、陈学冬屌丝样烂泥扶不上墙4、老实说小时代这个故事本身，也就只能拍成这样，换个再牛逼的导演，也玩不出新花样了5、坐我边上的两百斤男胖子，看得很开心。,2014-07-17
7,五月的奶茶,3,把你的逼我的逼撕一撕。撕一颗幸运草。撕一颗同心圆。,2014-07-17
8,.M,1,有意思的是最多的是两个分数，打一星的和打五星的。这两拨人的唯一共同点就是都没有看过这部电影。,2014-07-16
9,马少爷,3,一个作家拍的电影在中国有那么大的影响力，在豆瓣有那么多人唾弃，就可见它是中国当代价值观的浓缩。哎。但是真的拍的好烂！！！！！！！！,2014-07-17
10,少女大刀,1,今年犯了三百六十五个错误，为了惩罚自己，我决定自掏腰包去看小时代首映。,2014-07-05
11,【已注销】,1,就这么宏大的撕逼场面，让我多花五块钱我都看！郭导别看个子小小的，但是脑洞大啊。,2014-07-17
12,夏树,5,唐宛如全程高能！简直笑死我了！！！！！！,2014-07-03
13,影志,3,“遇见他，已经透支掉我所有的运气…”这一部系列矮个拔最高唉，前1/3依然无病呻吟，中间1/3搞笑部分“只剩一道红外线”、“密码试一下我生日”还是笑果十足的，后1/3撕逼大战就呵呵呵了，不过旁边妹子哭到抽搐，演员能撕这样都是真心的吧…片尾第一次看到剧组自己打字幕让观众留下，也算良心了…,2014-07-18
14,唐小万,2,其实习惯了小时代的画风，还是有点可爱的。各种卖腐撕逼，可是撕了半天，大家还是愿意跟土豪顾里做朋友嘛。,2014-07-11
15,我是大皮哥,2,音乐退步明显，除葬礼后陈学冬唱的不再见和用烂了的时间煮雨，别的和画面契合度都不高，称“一部两小时的MV”都过誉了。新宫洺锦荣的替换异常成功，动静坐立都比凤小岳版不动石佛宫洺有戏得多。Neil演员李贤宰绝对一大奇兵，全宇宙都再也找不出这么个把中文说得如此扭曲狰狞又不讨人嫌的可爱大男孩了,2014-07-18
16,男娼起义,1,小时代3烂的小时代1都看不下去了，然后小时代2说，滚，老娘才是最烂的。然后开始撕逼，等着小时代4的到来。,2014-07-17
17,丁小云,2,怎么形容《小时代3》呢？因为这部电影里的一句台词提到了狗血和大粪，使得我看本片时总有这样一个念头挥之不去：这部电影就像在最奢华的餐桌上摆放着的一盆精心烹制的狗血煮大粪……这种对现实社会没有一丁点批判的电影，也难怪会被无数人骂，无论拍什么电影，导演多少都要承担一点社会责任的……,2014-07-18
18,城南草木生,3,我是郭敬明脑残粉。末尾出现吴亦凡名字的时候雅芝姐问这是谁，旁边几个背书包的中学生已经喊成一片，这是一个不属于我们世界的人。女学生也是不属于我们世界的人，山根垫的一样高的男主角也不是一个世界的人。但这不妨碍我每年看小时代每年都开心。看这么一电影再不开心，就没什么能高兴的了。,2014-07-17
19,也算是奇迹,5,没有继承者剧情老套没有绯闻女孩肉多也没有星你男主角丑。。四个片子都奢侈 抓住小时代不放真是没意思,2014-07-09
20,昭君梦雪,1,不得不说，小时代系列在将来中国的电影史上一定会………毫无痕迹………,2014-07-14
21,猱困困,3,三星半。郭敬明镜头感好过语感N倍。撕逼大战虽然慢镜多，但节奏超快，每个人都面目狰狞，分分钟翻脸，好棒！,2014-06-27
22,抹茶芷,5,小时代真的能让我看得热血沸腾呐。在我心中的位置还是如此美好。任何都比不上时间煮雨的旋律哼起来的那一刻四姐妹拥抱在一起的那一刻美好。ps：顾氏家族的人都帅帅滴。萌萌滴。美美滴。neil好可爱。完全将女人的娇羞演绎了出来，妹花的演技也有了蜕变。感情丰富了好多。超爱~首映还要二刷。,2014-07-02
23,張肉肉,1,买6块钱的电影票都赔了…令人发指…影厅平均年龄15…大家都不知为何痛哭流涕…只有我和对象笑出了眼泪……我真的不想看4了~~~~~~,2014-07-17
24,@;www.wap..,1,每次看完这类电影，总感觉自己的智商真是突破天际，四娘带给我的愉悦程度真不是一般电影可以相比的，呵呵呵！,2014-07-16
25,Jowo,1,一部电影好看你会觉得哪里哪里好看，一部电影不好看的话，我实在找不出什么理由来解释。,2014-07-17
26,豆丁,5,你的手怎么那么多茧啊？你的也是，两人莞尔一笑，OMG看完这个我都要笑cry了，导演你确定这样子好吗？,2014-07-16
27,Rosa,4,看的是提前点映，前面果然毁了，跟MV似的，后面情节太紧凑。。。看吵群架挺爽的，有绯闻女孩和暮光的相似镜头。。。大家可以7.17去电影院看，嘿嘿,2014-07-03
28,fantastic,1,看见杨幂就恶心,2014-07-14
29,丸尾同学,1,我的一星早已饥渴难耐,2014-07-16
30,西山君,1,小四仰望着四十五度角的天空留下了忧伤的泪水：为什么你们没看就来打一分，为什么！网友：还好没看，不然一分都没。,2014-07-16
31,伦敦的1D和都柏林的Jedwa,1,豆瓣上，很多人在此片未上映之时就给了差评。我表示看了3的预告片就知道，完蛋了，又是一部烂片~虽然片子很精美，但是内容很低俗,2014-07-04
32,嘟嘟熊之父,3,不得不说，真是一部比一部好看了。电影倾尽所有告诉我们，眼界开阔对于一个人来说究竟有多么重要。,2014-07-17
33,陌,4,技术有待提高！画面很唯美~内容实在不够充实…没用的内容太多…实际剧情的铺垫欠缺…主线太乱…比前两次进步了~多给一星~根据结局来看还有4.0……,2014-06-27
34,拧巴小柒,4,比第一部强太多！原本打算进去睡的，却津津有味的看完了。妈蛋，要变脑残了…,2014-07-18
35,唐糖ErIc,1,看不看都是一分！反正我不会浪费钱看这种连下载都觉得占硬盘的东西！,2014-07-17
36,凹凸,3,你们怎么就不明白 把撕逼戏拍出波澜壮阔的迷幻感 再配以意识化的剪辑 排山倒海般的配乐渲染以及MTV式的摄影风格 这根本就是部导演风格浓烈的作者电影！更重要的是 在一众村炮味的时尚题材华语电影里 四娘是真的诚意满载地拍出了时代感！,2014-07-17
37,汪小姐要瘦到99,5,距离第一次翻看《梦里》以及郭敬明小说的高中时代，感觉已经过去的好久远，多年以后的现在再次想起来就像是触摸到尘封的自己。如果有一本书写下了曾经的我们，就算是别人眼中的笨拙或浮华那也不失是一种可爱。所以，不为别的，单单就是80后的情结作祟，依然无比期待小时代！友谊万岁，青春永存！,2014-07-03
38,爱情海,2,推荐看小说吧！不知道为什么还会得奖。,2017-02-11
39,后知后觉的斑马,1,这一颗星是给 类型中喜剧标签的,2014-07-16
40,Dr.D,1,烂到无极限,2014-07-16
41,亵渎电影,1,现在的孩子们是不是都疯了？,2014-08-11
42,易老邪,3,三部下来，换个角度可以这样说，郭敬明已经形成了属于自己的电影美学：一种严重脱离现实的充斥着花季少女浪漫迷幻色彩的都市青春时尚片。冲这点给个3星，同时也是为了跟韩鳖的《后会无期》拉开点距离。,2014-07-19
43,同志亦凡人中文站,1,也只有在这个看脸的时代才会出现这样的“电影”，只是看到一群所谓名媛找律师的方式居然是上58同城，我真的很想说这是什么JB玩意儿...,2014-09-02
44,Mc67,1,天哪 我居然给了这么高的分数,2014-07-18
45,iamsherry,4,全程笑点，看后对郭敬明改观，是个非常聪明的商人。,2014-07-31
46,唐书钰,1,音乐mv裁缝郭敬明,2014-07-09
47,陆支羽,1,0.5。1.话说第一部我还打了1.5分，但这部只能减掉1分了。2.剩下的0.5送给韩寒。,2014-07-20
48,曾海绵,3,比前两部的节奏和剧情要好些，但还是那套无来由的疯狂撕逼，然后无来由的和好大玩玛丽苏。片中很多桥段让人感觉小四脑洞开太大，像在过家家。新角色Neil蹩脚的中文萌萌哒，并且完成了让所有让死Gay腐女为之邪恶意淫的桥段。片尾彩蛋亮过第一部，你们真的以为完结了么？哼~,2014-07-14
49,shield,3,套路都搞清了，先好一段然后撕逼最后和好结束。,2017-02-11
50,186****5060,1,听说还有第四部，为什么不能打零分,2014-07-14
51,啾咪咪咪咪莫,4,"其实呢，不知道是因为小鲜肉Neil还是怎样，感觉片子的笑点什么的都很戳我啊，画面也很精致，自从看过电视剧版的小时代之后，觉得拜金的郭敬明才能拍好小时代，默默期待4,",2014-07-31
52,艾小柯,1,如果说前两部还有因自成风格而存在的一定意义与价值的话，这一部则是彻底的圈钱大狂欢，完全堕落至糊弄自娱，只剩下一条不成故事的情节线，幼稚荒淫，惨不忍睹。,2014-09-20
53,不良生,2,打一星的人一定没有看过更烂的电影。作为一部烂片收割机活人版，我觉得影片尽力了。这样的题材拍不出高雅，但至少拍得色香味俱全，撕逼戏好看。,2014-07-23
54,启明星的指引,2,不明白为什么这么多打一星的，我觉得值2星，我还要看第四部，看看第四部能否给我打一星的勇气。,2018-05-26
55,鲸鱼君,1,《小时代3刺金时代》：一部不如一部。姐妹反目再和好，如此反复，令人厌倦。演员们玩得很欢乐，却不顾及毫无逻辑的情节和多余的角色，就算彩蛋再精彩也于事无补。镜头不乏炫技，煽情也没懈怠，可惜这一切都是导演在瞎扯。提名：最烂影片/最烂导演(郭敬明)/最烂演员(全体演员)/最烂剧本/最烂音效。★,2014-07-17
56,Ivan,1,好多帅哥，四娘不要潜规则他们啊，而且gay的桥段能够在国内公映，还是由衷赞叹一个。我后面就坐了一对，养眼，，，剧情就是炫富和撕逼，烂就烂呗。。,2014-07-18
